customer_id,unit_price,is_promotion,holiday_name,weather_condition,customer_segment,product_id,customer_income,competitor_price,marketing_spend,product_name,lead_time,stock_level,supplier_delay,shelf_life,category,date_of_purchase,amount,quantity,location,year,month
8359,147.69,1,Diwali,Cloudy,High,943,56547.0,374.5,29289.91,Mobile,7,117,7,193,Grocery,2024-01-01,3889.77,1,Houston,2024,1
7838,330.96,0,New Year,Snowy,Low,336,146452.0,494.73,25583.14,Mobile,20,714,3,267,Fashion,2024-01-01,979.34,6,Los Angeles,2024,1
5210,122.1,0,Diwali,Cloudy,Middle,312,97270.0,393.59,31747.84,Smartwatch,24,295,6,50,Electronics,2024-01-01,4960.26,4,Houston,2024,1
1907,186.46,0,Black Friday,Sunny,Low,856,62424.0,415.85,43441.88,TV,4,585,3,110,Grocery,2024-01-01,4523.53,2,San Francisco,2024,1
9018,222.87,0,New Year,Sunny,Low,760,67790.0,38.71,38566.61,Mobile,20,972,8,297,Fashion,2024-01-01,2082.49,4,Chicago,2024,1
6918,188.43,1,None,Cloudy,High,178,33063.0,485.94,47275.25,Laptop,14,284,6,86,Home Appliance,2024-01-01,3634.34,3,New York,2024,1
2649,477.31,0,Christmas,Sunny,High,676,37894.0,495.29,44865.61,Mobile,7,474,5,127,Electronics,2024-01-01,3350.85,1,Houston,2024,1
3187,178.13,0,Black Friday,Cloudy,High,185,79733.0,236.38,25019.44,Laptop,5,230,5,118,Electronics,2024-01-01,112.77,4,Houston,2024,1
8878,117.71,1,None,Sunny,High,529,84000.0,224.77,29596.72,Laptop,6,979,0,268,Fashion,2024-01-01,903.16,8,San Francisco,2024,1
5474,210.06,0,Black Friday,Cloudy,High,399,130786.0,99.0,16332.26,Laptop,9,997,9,38,Fashion,2024-01-01,1305.59,6,Los Angeles,2024,1
6595,284.6,0,None,Rainy,High,187,146380.0,91.79,44258.48,Laptop,28,158,2,203,Grocery,2024-01-01,490.4,6,New York,2024,1
7342,349.64,0,Christmas,Cloudy,Middle,568,45317.0,270.69,37770.39,TV,10,90,0,335,Electronics,2024-01-01,4480.04,4,New York,2024,1
5602,225.39,1,Christmas,Snowy,Low,139,79976.0,326.0,10838.97,Smartwatch,24,758,2,235,Electronics,2024-01-01,761.74,5,New York,2024,1
8239,398.34,0,Black Friday,Snowy,Middle,475,110894.0,164.18,17445.26,Laptop,15,519,1,247,Electronics,2024-01-01,3310.75,6,San Francisco,2024,1
6872,151.31,0,New Year,Sunny,Low,851,81836.0,14.2,49931.32,TV,16,822,3,281,Fashion,2024-01-01,228.04,7,Los Angeles,2024,1
4732,34.36,0,Christmas,Snowy,High,552,140069.0,384.86,26393.72,Tablet,3,777,4,357,Fashion,2024-01-01,2091.9,2,Los Angeles,2024,1
8361,273.59,1,New Year,Rainy,High,750,58691.0,395.88,13739.86,TV,1,792,5,37,Fashion,2024-01-01,2706.07,9,New York,2024,1
9940,179.99,0,Christmas,Rainy,Low,408,127391.0,235.21,35050.56,TV,5,510,1,180,Grocery,2024-01-01,43.68,3,Houston,2024,1
5741,417.92,0,New Year,Cloudy,Middle,427,140031.0,273.86,46910.75,Mobile,10,719,5,153,Electronics,2024-01-01,926.85,8,Houston,2024,1
7985,75.12,0,None,Sunny,Middle,943,85413.0,314.2,37817.44,TV,18,112,9,238,Grocery,2024-01-01,4156.63,8,Houston,2024,1
4325,26.56,0,Diwali,Rainy,Middle,651,75786.0,249.71,19463.11,TV,22,142,1,231,Grocery,2024-01-01,2699.84,6,New York,2024,1
7052,232.43,0,None,Snowy,High,700,108925.0,219.87,27145.93,TV,22,388,1,276,Electronics,2024-01-01,1385.57,4,Houston,2024,1
5707,89.05,0,Black Friday,Rainy,Middle,746,53132.0,272.1,5530.36,Smartwatch,12,903,1,62,Home Appliance,2024-01-01,4351.47,1,Chicago,2024,1
3798,168.68,1,Black Friday,Cloudy,Low,630,33539.0,291.4,31261.04,Laptop,10,431,2,22,Fashion,2024-01-01,1719.65,2,Chicago,2024,1
6163,470.57,0,Black Friday,Cloudy,Middle,187,51333.0,167.29,22247.5,Mobile,22,318,1,79,Fashion,2024-01-02,3395.58,3,New York,2024,1
9790,82.16,0,Christmas,Snowy,Low,645,69189.0,393.69,25759.46,Mobile,7,479,9,123,Home Appliance,2024-01-02,2013.0,4,New York,2024,1
2351,392.09,0,New Year,Snowy,High,917,102936.0,184.31,39496.69,Smartwatch,13,326,0,67,Electronics,2024-01-02,3634.06,3,Houston,2024,1
9222,251.24,0,None,Snowy,High,744,114157.0,431.33,28437.45,TV,3,718,5,347,Fashion,2024-01-02,1303.3,1,Houston,2024,1
7316,222.1,1,Christmas,Snowy,Low,464,58169.0,104.08,3262.8,TV,13,696,1,13,Home Appliance,2024-01-02,4341.16,3,New York,2024,1
9572,396.51,0,None,Cloudy,High,639,103324.0,37.83,19168.75,Tablet,26,384,9,19,Electronics,2024-01-02,2551.5,2,New York,2024,1
7039,8.22,0,New Year,Snowy,High,421,122900.0,343.87,4458.15,Tablet,1,658,9,84,Grocery,2024-01-02,3929.66,7,Chicago,2024,1
6543,383.68,0,Black Friday,Snowy,Middle,678,28602.0,466.33,2474.1,TV,18,322,0,296,Home Appliance,2024-01-02,2043.17,7,New York,2024,1
9786,79.46,0,None,Rainy,High,559,130916.0,178.84,41352.9,TV,8,578,1,224,Home Appliance,2024-01-02,4655.37,7,Chicago,2024,1
4277,455.67,0,New Year,Rainy,Middle,958,30964.0,495.09,1186.01,TV,25,342,5,50,Fashion,2024-01-02,2755.48,4,Houston,2024,1
3448,240.86,0,Black Friday,Rainy,Middle,403,53099.0,381.89,44779.24,Mobile,9,85,0,25,Electronics,2024-01-02,737.92,6,Chicago,2024,1
7451,304.8,0,Christmas,Sunny,Low,626,102658.0,100.28,39703.57,Tablet,5,469,8,133,Fashion,2024-01-02,723.7,2,San Francisco,2024,1
7636,10.61,0,Christmas,Snowy,Middle,846,142031.0,23.24,37567.37,Smartwatch,27,214,0,118,Electronics,2024-01-02,2105.42,7,San Francisco,2024,1
2167,264.37,0,Diwali,Snowy,Middle,927,41861.0,362.03,3737.94,TV,2,699,9,221,Fashion,2024-01-02,4223.63,9,Los Angeles,2024,1
8160,83.5,0,Diwali,Rainy,Low,438,62773.0,359.24,23150.47,TV,18,809,5,332,Home Appliance,2024-01-02,3316.64,7,Chicago,2024,1
8701,265.36,0,Christmas,Rainy,Middle,519,136090.0,296.34,12855.48,TV,15,524,8,135,Home Appliance,2024-01-02,2398.29,8,Chicago,2024,1
5976,372.47,0,Diwali,Sunny,Low,352,26806.0,314.09,35869.32,Mobile,28,362,0,307,Home Appliance,2024-01-02,1775.65,8,Chicago,2024,1
6896,109.23,0,New Year,Sunny,High,795,45646.0,27.02,3920.59,Tablet,22,832,3,288,Grocery,2024-01-02,381.29,1,New York,2024,1
5393,126.99,0,New Year,Rainy,High,331,108225.0,29.95,30846.32,Tablet,3,344,9,66,Electronics,2024-01-02,4135.56,1,Houston,2024,1
1596,354.45,0,Diwali,Sunny,Low,267,124480.0,334.62,43580.39,Smartwatch,25,556,1,289,Fashion,2024-01-02,2012.52,5,Chicago,2024,1
9405,135.21,0,Black Friday,Snowy,Low,452,32529.0,383.7,30048.93,Tablet,19,270,8,173,Electronics,2024-01-02,2977.39,4,Los Angeles,2024,1
9327,399.68,0,Black Friday,Sunny,High,590,113682.0,488.79,37757.23,Smartwatch,5,644,3,133,Grocery,2024-01-02,1864.62,5,Houston,2024,1
2947,380.73,0,Christmas,Rainy,Low,148,96701.0,476.87,34991.03,TV,6,449,1,132,Grocery,2024-01-02,296.05,4,San Francisco,2024,1
2361,487.73,0,Christmas,Snowy,High,799,133077.0,371.75,14788.92,TV,28,264,6,102,Home Appliance,2024-01-02,4473.07,5,Houston,2024,1
8193,208.47,0,Black Friday,Cloudy,High,593,59331.0,203.43,31201.32,Tablet,6,773,7,330,Electronics,2024-01-03,3994.03,4,Los Angeles,2024,1
1531,319.29,0,New Year,Sunny,Low,383,69296.0,297.03,46763.64,Mobile,18,494,3,124,Grocery,2024-01-03,1714.23,6,Los Angeles,2024,1
6888,130.23,0,Black Friday,Sunny,Low,549,111654.0,371.2,47847.04,Mobile,25,252,8,203,Fashion,2024-01-03,241.3,6,Chicago,2024,1
4774,105.18,1,None,Sunny,Low,731,25407.0,202.25,26540.63,Laptop,2,594,5,261,Home Appliance,2024-01-03,4880.38,8,Houston,2024,1
5067,152.35,0,Black Friday,Rainy,Low,934,122866.0,392.86,8758.0,Laptop,22,702,7,60,Fashion,2024-01-03,1449.14,2,Houston,2024,1
4302,289.94,0,Black Friday,Snowy,Low,596,138601.0,492.44,17426.46,Laptop,22,771,9,43,Fashion,2024-01-03,4080.64,3,Chicago,2024,1
1148,434.05,0,Black Friday,Rainy,High,977,121319.0,212.12,14113.53,TV,1,697,0,45,Grocery,2024-01-03,1119.17,6,New York,2024,1
6701,34.83,1,Black Friday,Sunny,Middle,648,47879.0,387.68,43397.18,Smartwatch,18,431,8,24,Fashion,2024-01-03,3003.17,7,Los Angeles,2024,1
4691,26.29,0,None,Snowy,Low,628,124246.0,39.49,34339.2,Laptop,22,305,5,189,Electronics,2024-01-03,2815.69,7,Chicago,2024,1
4223,249.55,0,Christmas,Sunny,Middle,641,98599.0,305.74,5005.97,Tablet,1,605,2,43,Fashion,2024-01-03,4382.72,8,Houston,2024,1
3664,119.52,1,Black Friday,Snowy,Low,394,144155.0,20.95,24513.59,TV,1,25,7,261,Home Appliance,2024-01-03,28.92,1,Houston,2024,1
1524,344.18,0,Black Friday,Sunny,High,131,120562.0,245.11,13201.84,TV,9,671,9,24,Electronics,2024-01-03,4528.24,1,New York,2024,1
